title,price,availability,rating,product_url,image_url,upc,category
Wall and Piece,Â£44.18,In stock (18 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,https://books.toscrape.com/media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg,ccd9ffa25efabdea,Art
Feathers: Displays of Brilliant Plumage,Â£49.05,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html,https://books.toscrape.com/media/cache/0a/d4/0ad48326a0d2dbda145c94e1d50ef673.jpg,9194ae88379dbf1a,Art
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Â£48.63,In stock (9 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/art-and-fear-observations-on-the-perils-and-rewards-of-artmaking_559/index.html,https://books.toscrape.com/media/cache/87/82/87822798b42545d589822bc712dc38a6.jpg,d6d9ffea95f2f8bf,Art
The New Drawing on the Right Side of the Brain,Â£43.02,In stock (8 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-new-drawing-on-the-right-side-of-the-brain_550/index.html,https://books.toscrape.com/media/cache/0a/8f/0a8f6461714ec9868dea0d37c5da5a81.jpg,3eec766dda26fa64,Art
History of Beauty,Â£10.29,In stock (8 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/history-of-beauty_521/index.html,https://books.toscrape.com/media/cache/cb/74/cb74d2953d5249143c3c2e3c281daf6f.jpg,8a150fd8ff5d7686,Art
The Story of Art,Â£41.14,In stock (7 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-story-of-art_500/index.html,https://books.toscrape.com/media/cache/7a/e9/7ae92da23efc2f0f4633f9d2cde370f3.jpg,9147c5251cc99eb1,Art
The Art Book,Â£32.34,In stock (7 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-art-book_490/index.html,https://books.toscrape.com/media/cache/76/90/76904c101329aa50b6653f399318970b.jpg,4b8fa561a1e52d1c,Art
Ways of Seeing,Â£39.51,In stock (1 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/ways-of-seeing_94/index.html,https://books.toscrape.com/media/cache/a5/54/a5542b7abc8673ea8254a3fe93b23e4e.jpg,66a4e422b212726a,Art
Wall and Piece,Â£44.18,In stock (18 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,https://books.toscrape.com/media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg,ccd9ffa25efabdea,Art
Feathers: Displays of Brilliant Plumage,Â£49.05,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html,https://books.toscrape.com/media/cache/0a/d4/0ad48326a0d2dbda145c94e1d50ef673.jpg,9194ae88379dbf1a,Art
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Â£48.63,In stock (9 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/art-and-fear-observations-on-the-perils-and-rewards-of-artmaking_559/index.html,https://books.toscrape.com/media/cache/87/82/87822798b42545d589822bc712dc38a6.jpg,d6d9ffea95f2f8bf,Art
The New Drawing on the Right Side of the Brain,Â£43.02,In stock (8 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-new-drawing-on-the-right-side-of-the-brain_550/index.html,https://books.toscrape.com/media/cache/0a/8f/0a8f6461714ec9868dea0d37c5da5a81.jpg,3eec766dda26fa64,Art
History of Beauty,Â£10.29,In stock (8 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/history-of-beauty_521/index.html,https://books.toscrape.com/media/cache/cb/74/cb74d2953d5249143c3c2e3c281daf6f.jpg,8a150fd8ff5d7686,Art
The Story of Art,Â£41.14,In stock (7 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-story-of-art_500/index.html,https://books.toscrape.com/media/cache/7a/e9/7ae92da23efc2f0f4633f9d2cde370f3.jpg,9147c5251cc99eb1,Art
The Art Book,Â£32.34,In stock (7 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-art-book_490/index.html,https://books.toscrape.com/media/cache/76/90/76904c101329aa50b6653f399318970b.jpg,4b8fa561a1e52d1c,Art
Ways of Seeing,Â£39.51,In stock (1 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/ways-of-seeing_94/index.html,https://books.toscrape.com/media/cache/a5/54/a5542b7abc8673ea8254a3fe93b23e4e.jpg,66a4e422b212726a,Art
