title,price,availability,rating,product_url,image_url,upc,category
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,In stock (19 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,https://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,2597b5a345f45e1b,Business
The Third Wave: An Entrepreneurâs Vision of the Future,Â£12.61,In stock (15 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,https://books.toscrape.com/media/cache/0f/76/0f76b00ea914ced1822d8ac3480c485f.jpg,3bebf34ee9330cbd,Business
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Â£27.55,In stock (15 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,https://books.toscrape.com/media/cache/50/4b/504b1891508614ff9393563f69d66c95.jpg,56e4f9eab2e8e674,Business
Shoe Dog: A Memoir by the Creator of NIKE,Â£23.99,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,https://books.toscrape.com/media/cache/fc/21/fc21d144c7289e5b1cb133e01a925126.jpg,0e0dcc3339602b28,Business
Made to Stick: Why Some Ideas Survive and Others Die,Â£38.85,In stock (14 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html,https://books.toscrape.com/media/cache/1e/3e/1e3e1572e17ade03b21c44617fbc4d68.jpg,b96fc7a0ea7d4b45,Business
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Â£43.14,In stock (12 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html,https://books.toscrape.com/media/cache/fe/1a/fe1afbd5caf79c3c957bfc5cf46f141e.jpg,8976d9161c027142,Business
The Art of Startup Fundraising,Â£21.00,In stock (11 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-art-of-startup-fundraising_606/index.html,https://books.toscrape.com/media/cache/67/e8/67e81a7a82578a919a48816330836090.jpg,1c584f82a7a1c4f0,Business
Born for This: How to Find the Work You Were Meant to Do,Â£21.59,In stock (11 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html,https://books.toscrape.com/media/cache/9f/e7/9fe7f6432f216b166cb36f16130f20f6.jpg,816180220e8cb419,Business
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Â£36.91,In stock (8 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it_545/index.html,https://books.toscrape.com/media/cache/a5/7e/a57ef7bdbaf704fca07ab6dd125b54f9.jpg,a2308a936e898d48,Business
"Rich Dad, Poor Dad",Â£51.74,In stock (7 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/rich-dad-poor-dad_483/index.html,https://books.toscrape.com/media/cache/46/1c/461cf454be3aac0b4cd066247c892679.jpg,8486f61aa81a3daa,Business
