title,price,availability,rating,product_url,image_url,upc,category
Redeeming Love,Â£20.47,In stock (15 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/redeeming-love_826/index.html,https://books.toscrape.com/media/cache/c9/74/c974d74fa0bd1735c6ae172d40b1c077.jpg,b53db2271c9624f7,Christian Fiction
Close to You,Â£49.46,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/close-to-you_798/index.html,https://books.toscrape.com/media/cache/94/f4/94f4405dae04559ecdd92e62486623e3.jpg,a57b1dcbd6849222,Christian Fiction
Shadows of the Past (Logan Point #1),Â£39.67,In stock (8 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/shadows-of-the-past-logan-point-1_541/index.html,https://books.toscrape.com/media/cache/61/3a/613ac19c2232f1d9adc5943291a5e860.jpg,bee6e93e9976f4fa,Christian Fiction
Like Never Before (Walker Family #2),Â£28.77,In stock (7 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/like-never-before-walker-family-2_476/index.html,https://books.toscrape.com/media/cache/1b/38/1b3825668326e82038ba33bca646e0f3.jpg,b6670507e85b30e6,Christian Fiction
Counted With the Stars (Out from Egypt #1),Â£17.97,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/counted-with-the-stars-out-from-egypt-1_463/index.html,https://books.toscrape.com/media/cache/33/93/339372341b88e027734e97fa1ddb26fc.jpg,4807043b8218e9ce,Christian Fiction
If I Run (If I Run #1),Â£49.97,In stock (3 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/if-i-run-if-i-run-1_174/index.html,https://books.toscrape.com/media/cache/54/17/54179d9af49616b1ef35a0bb23294b14.jpg,61569d12d4ae7161,Christian Fiction
Redeeming Love,Â£20.47,In stock (15 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/redeeming-love_826/index.html,https://books.toscrape.com/media/cache/c9/74/c974d74fa0bd1735c6ae172d40b1c077.jpg,b53db2271c9624f7,Christian Fiction
Close to You,Â£49.46,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/close-to-you_798/index.html,https://books.toscrape.com/media/cache/94/f4/94f4405dae04559ecdd92e62486623e3.jpg,a57b1dcbd6849222,Christian Fiction
Shadows of the Past (Logan Point #1),Â£39.67,In stock (8 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/shadows-of-the-past-logan-point-1_541/index.html,https://books.toscrape.com/media/cache/61/3a/613ac19c2232f1d9adc5943291a5e860.jpg,bee6e93e9976f4fa,Christian Fiction
Like Never Before (Walker Family #2),Â£28.77,In stock (7 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/like-never-before-walker-family-2_476/index.html,https://books.toscrape.com/media/cache/1b/38/1b3825668326e82038ba33bca646e0f3.jpg,b6670507e85b30e6,Christian Fiction
Counted With the Stars (Out from Egypt #1),Â£17.97,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/counted-with-the-stars-out-from-egypt-1_463/index.html,https://books.toscrape.com/media/cache/33/93/339372341b88e027734e97fa1ddb26fc.jpg,4807043b8218e9ce,Christian Fiction
If I Run (If I Run #1),Â£49.97,In stock (3 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/if-i-run-if-i-run-1_174/index.html,https://books.toscrape.com/media/cache/54/17/54179d9af49616b1ef35a0bb23294b14.jpg,61569d12d4ae7161,Christian Fiction
