title,price,availability,rating,product_url,image_url,upc,category
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,e72a5dfc7e9267b2,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock (19 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,e10e1e165dc8be4a,Default
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock (19 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,0312262ecafa5a40,Default
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com/media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg,c7d160c2c0de586f,Default
Aladdin and His Wonderful Lamp,Â£53.13,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,https://books.toscrape.com/media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg,904208d6aa64b655,Default
Penny Maybe,Â£33.29,In stock (18 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,https://books.toscrape.com/media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg,668fe56b17cfcd4f,Default
Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock (18 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,https://books.toscrape.com/media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg,094b269567e1c300,Default
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,https://books.toscrape.com/media/cache/a5/b8/a5b8d2d5165a06fc762e8eaf8b04f98f.jpg,8c9e6bf2467d740d,Default
Soul Reader,Â£39.58,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/soul-reader_926/index.html,https://books.toscrape.com/media/cache/cc/5e/cc5e82c2205da748c6c19fbc1876586b.jpg,e6af5bf1163c1151,Default
Bossypants,Â£49.46,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/bossypants_883/index.html,https://books.toscrape.com/media/cache/94/34/943490007d42c0bc066efc899dafa472.jpg,74baabfc8fd84b38,Default
A World of Flavor: Your Gluten Free Passport,Â£42.95,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,https://books.toscrape.com/media/cache/0a/6a/0a6a53a8d37584a7906d2d5a0032f9c1.jpg,70ed59f194b3c556,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Â£56.76,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,https://books.toscrape.com/media/cache/09/6d/096df83de35d408278fdc9108d930b5f.jpg,8a380641491d43ed,Default
Tracing Numbers on a Train,Â£41.60,In stock (15 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,https://books.toscrape.com/media/cache/0a/05/0a0514153dac092aac76b097b495f908.jpg,d7d6d50c1e3d0b81,Default
Thirteen Reasons Why,Â£52.72,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,https://books.toscrape.com/media/cache/6d/7b/6d7b69b4edcdf5b6b075d6fa53bf74bc.jpg,bc2a85fd35fdc7bd,Default
The Secret (The Secret #1),Â£27.37,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,https://books.toscrape.com/media/cache/d3/70/d37038f81b8ad0342346951271c31e58.jpg,961f18db4f138211,Default
The Psychopath Test: A Journey Through the Madness Industry,Â£36.00,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,https://books.toscrape.com/media/cache/dd/63/dd637b4e7cb403932e6a29397d877e4e.jpg,e98a4efa85070c2f,Default
The Kite Runner,Â£41.82,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,https://books.toscrape.com/media/cache/65/1e/651e956a041bf4b91bfba1374f0f91e7.jpg,eac1a180047ad54e,Default
The Girl on the Train,Â£55.02,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,https://books.toscrape.com/media/cache/19/ed/19ed2156391eebbcd757a0d9f6d5860c.jpg,e956d67c9bcc5809,Default
The Emerald Mystery,Â£23.15,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,https://books.toscrape.com/media/cache/bc/1f/bc1f79af87032748b75d12079f51c031.jpg,d6670dfe3e7b42bd,Default
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Â£32.00,In stock (15 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,https://books.toscrape.com/media/cache/39/c7/39c7bebcde5d9643ede71ac8ee87ee69.jpg,efc3768127714ec3,Default
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,e72a5dfc7e9267b2,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock (19 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,e10e1e165dc8be4a,Default
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock (19 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,0312262ecafa5a40,Default
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com/media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg,c7d160c2c0de586f,Default
Aladdin and His Wonderful Lamp,Â£53.13,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,https://books.toscrape.com/media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg,904208d6aa64b655,Default
Penny Maybe,Â£33.29,In stock (18 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,https://books.toscrape.com/media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg,668fe56b17cfcd4f,Default
Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock (18 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,https://books.toscrape.com/media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg,094b269567e1c300,Default
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,https://books.toscrape.com/media/cache/a5/b8/a5b8d2d5165a06fc762e8eaf8b04f98f.jpg,8c9e6bf2467d740d,Default
Soul Reader,Â£39.58,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/soul-reader_926/index.html,https://books.toscrape.com/media/cache/cc/5e/cc5e82c2205da748c6c19fbc1876586b.jpg,e6af5bf1163c1151,Default
Bossypants,Â£49.46,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/bossypants_883/index.html,https://books.toscrape.com/media/cache/94/34/943490007d42c0bc066efc899dafa472.jpg,74baabfc8fd84b38,Default
A World of Flavor: Your Gluten Free Passport,Â£42.95,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,https://books.toscrape.com/media/cache/0a/6a/0a6a53a8d37584a7906d2d5a0032f9c1.jpg,70ed59f194b3c556,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Â£56.76,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,https://books.toscrape.com/media/cache/09/6d/096df83de35d408278fdc9108d930b5f.jpg,8a380641491d43ed,Default
Tracing Numbers on a Train,Â£41.60,In stock (15 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,https://books.toscrape.com/media/cache/0a/05/0a0514153dac092aac76b097b495f908.jpg,d7d6d50c1e3d0b81,Default
Thirteen Reasons Why,Â£52.72,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,https://books.toscrape.com/media/cache/6d/7b/6d7b69b4edcdf5b6b075d6fa53bf74bc.jpg,bc2a85fd35fdc7bd,Default
The Secret (The Secret #1),Â£27.37,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,https://books.toscrape.com/media/cache/d3/70/d37038f81b8ad0342346951271c31e58.jpg,961f18db4f138211,Default
The Psychopath Test: A Journey Through the Madness Industry,Â£36.00,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,https://books.toscrape.com/media/cache/dd/63/dd637b4e7cb403932e6a29397d877e4e.jpg,e98a4efa85070c2f,Default
The Kite Runner,Â£41.82,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,https://books.toscrape.com/media/cache/65/1e/651e956a041bf4b91bfba1374f0f91e7.jpg,eac1a180047ad54e,Default
The Girl on the Train,Â£55.02,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,https://books.toscrape.com/media/cache/19/ed/19ed2156391eebbcd757a0d9f6d5860c.jpg,e956d67c9bcc5809,Default
The Emerald Mystery,Â£23.15,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,https://books.toscrape.com/media/cache/bc/1f/bc1f79af87032748b75d12079f51c031.jpg,d6670dfe3e7b42bd,Default
