title,price,availability,rating,product_url,image_url,upc,category
Unicorn Tracks,Â£18.78,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,https://books.toscrape.com/media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg,7ae099f3898e0209,Fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,https://books.toscrape.com/media/cache/4a/99/4a996ae54711cea37e370428b54f8b19.jpg,c849f0b2f5d6a742,Fantasy
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,https://books.toscrape.com/media/cache/db/01/db01b38d3200a5faff4ead42791416e4.jpg,0e691eda369f4e09,Fantasy
Masks and Shadows,Â£56.40,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,https://books.toscrape.com/media/cache/05/c4/05c43fe821ae19169c7baa8a54c7e869.jpg,fa9610a50a1bf149,Fantasy
Crown of Midnight (Throne of Glass #2),Â£43.29,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,https://books.toscrape.com/media/cache/b7/7d/b77d5e56daa3c22822abf1b8affbaef9.jpg,7267864328ae8b9d,Fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Â£28.09,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,https://books.toscrape.com/media/cache/9f/25/9f25ffe4229a32d1368b3dfe248c3343.jpg,6d5300b2d8f37e07,Fantasy
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Â£52.37,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,https://books.toscrape.com/media/cache/0a/78/0a78f89fc2dc78b700b494c3510e8920.jpg,01d2001ac1e6f8a3,Fantasy
Throne of Glass (Throne of Glass #1),Â£35.07,In stock (15 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,https://books.toscrape.com/media/cache/4e/8d/4e8d87d1cb5e876ddb50599a1d1b656e.jpg,590a9cccf7db9f7d,Fantasy
The Glittering Court (The Glittering Court #1),Â£44.28,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,https://books.toscrape.com/media/cache/2f/21/2f21c9ffd0962092ce337ecd1b338f5b.jpg,2dbb7ec08cdd7f3c,Fantasy
Hollow City (Miss Peregrineâs Peculiar Children #2),Â£42.98,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,https://books.toscrape.com/media/cache/4c/fd/4cfd83a011f60d38b140642a441ce01a.jpg,4ce91d31c1e57c33,Fantasy
