title,price,availability,rating,product_url,image_url,upc,category
Soumission,Â£50.10,In stock (20 available) In stock In stock,1,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,6957f44c3847a760,Fiction
Private Paris (Private #10),Â£47.61,In stock (17 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,b12b89017878a60d,Fiction
"We Love You, Charlie Freeman",Â£50.27,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,8d455c7539795d2a,Fiction
Thirst,Â£17.27,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,709822d0b5bcb7f4,Fiction
The Murder That Never Was (Forensic Instincts #5),Â£54.11,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,https://books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg,d01ac97e2b8947c2,Fiction
Tuesday Nights in 1980,Â£21.04,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,https://books.toscrape.com/media/cache/a3/ad/a3ade5edecde67449329c1ebb016c049.jpg,b8736690cf263a3c,Fiction
The Vacationers,Â£42.15,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,https://books.toscrape.com/media/cache/34/c9/34c988a76c3cd7c04566d3030d8e7331.jpg,fd3a622648667296,Fiction
The Regional Office Is Under Attack!,Â£51.36,In stock (15 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,https://books.toscrape.com/media/cache/d4/73/d473f01f077b91ce04e345305a3fa217.jpg,0651062381f0636a,Fiction
Finders Keepers (Bill Hodges Trilogy #2),Â£53.53,In stock (15 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,https://books.toscrape.com/media/cache/76/80/76804e1881b630a110794fef5aad02cf.jpg,edb3097e71330040,Fiction
The Time Keeper,Â£27.88,In stock (14 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html,https://books.toscrape.com/media/cache/37/d1/37d108ff5b19028a52ddd73dba35d543.jpg,e9906e2f0d189745,Fiction
The Testament of Mary,Â£52.67,In stock (14 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html,https://books.toscrape.com/media/cache/06/a6/06a62270c0700ae3c537cf394cf145ee.jpg,081305e6df719dff,Fiction
The First Hostage (J.B. Collins #2),Â£25.85,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html,https://books.toscrape.com/media/cache/81/3e/813e1d11126330de52d9368e78d116cc.jpg,a86972014275e072,Fiction
Take Me with You,Â£45.21,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/take-me-with-you_741/index.html,https://books.toscrape.com/media/cache/bd/ad/bdad8933d15df7d7c6f3a16a9315048b.jpg,2c04320e110a14a3,Fiction
Still Life with Bread Crumbs,Â£26.41,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html,https://books.toscrape.com/media/cache/a3/eb/a3ebe1ca5df0d3ff3e3d2b8fb8b2a551.jpg,fe44cc816576c652,Fiction
Shtum,Â£55.84,In stock (14 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/shtum_733/index.html,https://books.toscrape.com/media/cache/63/62/63623a0b014b1f26e49aa61786e6e708.jpg,830fb3967c74866d,Fiction
My Name Is Lucy Barton,Â£41.56,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html,https://books.toscrape.com/media/cache/28/db/28db43984c765a1d02fd3495f5c52eb6.jpg,727bf2b86b19ad88,Fiction
My Mrs. Brown,Â£24.48,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html,https://books.toscrape.com/media/cache/2d/a3/2da3464fa2010bebedfba9eca77e42be.jpg,cc82685d9f49bc2c,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),Â£28.90,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html,https://books.toscrape.com/media/cache/65/7f/657f9a3b7c0579c7fa499dddddd59422.jpg,caa2e5b3fb1b2d4c,Fiction
I Am Pilgrim (Pilgrim #1),Â£10.60,In stock (14 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html,https://books.toscrape.com/media/cache/8d/a3/8da36f821f35b795a3a420c84ca9737e.jpg,aeff7b87a8e83ebb,Fiction
Eligible (The Austen Project #4),Â£27.09,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html,https://books.toscrape.com/media/cache/0a/9a/0a9a0b211bee87b544bd97a8320a0b73.jpg,9eaf58b03a2779cc,Fiction
Soumission,Â£50.10,In stock (20 available) In stock In stock,1,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,6957f44c3847a760,Fiction
Private Paris (Private #10),Â£47.61,In stock (17 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,b12b89017878a60d,Fiction
"We Love You, Charlie Freeman",Â£50.27,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,8d455c7539795d2a,Fiction
Thirst,Â£17.27,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,709822d0b5bcb7f4,Fiction
