title,price,availability,rating,product_url,image_url,upc,category
Tipping the Velvet,Â£53.74,In stock (20 available) In stock,1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,90fa61229261140a,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â£29.69,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,https://books.toscrape.com/media/cache/f9/9e/f99e760b894d10c6e5ed578618918367.jpg,9beb96a2300109d7,Historical Fiction
A Flight of Arrows (The Pathfinders #2),Â£55.53,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,https://books.toscrape.com/media/cache/ec/65/ec651ed66822d4b68938afa645b1ece2.jpg,3a6fb983e2554023,Historical Fiction
The House by the Lake,Â£36.95,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,https://books.toscrape.com/media/cache/46/a2/46a2c968bfccf1979cc5576085eec6dd.jpg,9287e238d7c3b06e,Historical Fiction
Mrs. Houdini,Â£30.25,In stock (15 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,https://books.toscrape.com/media/cache/b4/45/b445dbc81ca3aff1321a6bf0d0fa231d.jpg,a40723994f715420,Historical Fiction
The Marriage of Opposites,Â£28.08,In stock (14 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,https://books.toscrape.com/media/cache/33/8e/338e196723f3fb10d5c6990fe54be61d.jpg,52cf2a5933ec5d8f,Historical Fiction
Glory over Everything: Beyond The Kitchen House,Â£45.84,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,https://books.toscrape.com/media/cache/06/ac/06ac98df817412ce2419c4509fa98c80.jpg,de4b403cb629a29f,Historical Fiction
"Love, Lies and Spies",Â£20.55,In stock (12 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,https://books.toscrape.com/media/cache/5c/19/5c19785278eaa6bf984ce6659847abc3.jpg,9546d537fbf99eb6,Historical Fiction
A Paris Apartment,Â£39.01,In stock (12 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,https://books.toscrape.com/media/cache/b3/d9/b3d90aca157d5a250becc8b255a37251.jpg,63343e287971bb0c,Historical Fiction
Lilac Girls,Â£17.28,In stock (11 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,https://books.toscrape.com/media/cache/c0/80/c080a1626edf581b780420db13e7b074.jpg,bade9943ee01b63f,Historical Fiction
The Constant Princess (The Tudor Court #1),Â£16.62,In stock (7 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,https://books.toscrape.com/media/cache/ed/52/ed52651826bb23d853aead2753c9befc.jpg,24933c712f0bca2f,Historical Fiction
