title,price,availability,rating,product_url,image_url,upc,category
Security,Â£39.25,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/security_925/index.html,https://books.toscrape.com/media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg,6f78a0d744c35456,Horror
Follow You Home,Â£21.36,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/follow-you-home_809/index.html,https://books.toscrape.com/media/cache/bb/c0/bbc0bdad3ad7f390017ea66bb7019579.jpg,8585760646e3aa2a,Horror
The Loney,Â£23.40,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-loney_756/index.html,https://books.toscrape.com/media/cache/84/cc/84cc7f93a8c6c766a6297a23227e68e8.jpg,2d88a31f325dfd3b,Horror
Pet Sematary,Â£10.56,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/pet-sematary_726/index.html,https://books.toscrape.com/media/cache/99/ef/99ef2f3987ee016bdd120a4579ef98f5.jpg,af58a74e4b2a23a0,Horror
Doctor Sleep (The Shining #2),Â£40.12,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html,https://books.toscrape.com/media/cache/30/05/30053f9d8549febc67059c52fca65744.jpg,bf5de316a5e9a4ab,Horror
Psycho: Sanitarium (Psycho #1.5),Â£36.97,In stock (12 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html,https://books.toscrape.com/media/cache/91/98/9198cedbd37561f2aa343d3eb04ee703.jpg,b8d7b3f5c7a95d65,Horror
Can You Keep a Secret? (Fear Street Relaunch #4),Â£48.64,In stock (12 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/can-you-keep-a-secret-fear-street-relaunch-4_614/index.html,https://books.toscrape.com/media/cache/03/83/0383a7f9cce4ab8fa1c5db6e69b169c6.jpg,d069086944f2e330,Horror
Red Dragon (Hannibal Lecter #1),Â£23.37,In stock (5 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/red-dragon-hannibal-lecter-1_390/index.html,https://books.toscrape.com/media/cache/4a/ce/4acec5ebebf374e7a84a5d8c74ee5752.jpg,e958ae92f328c181,Horror
Dracula the Un-Dead,Â£35.63,In stock (5 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/dracula-the-un-dead_370/index.html,https://books.toscrape.com/media/cache/b1/f2/b1f25fa4623b3ee2db6fb6d6e27c6fb5.jpg,e46b1074b99ac4b6,Horror
Night Shift (Night Shift #1-20),Â£12.75,In stock (4 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/night-shift-night-shift-1-20_335/index.html,https://books.toscrape.com/media/cache/b8/84/b8843e0c3fbadb1682b095c99eda7f7a.jpg,869d20b3b8128230,Horror
Needful Things,Â£47.51,In stock (4 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/needful-things_334/index.html,https://books.toscrape.com/media/cache/d2/d8/d2d818d6654086560072fe1d42189636.jpg,70b585c9d0f15725,Horror
Misery,Â£34.79,In stock (4 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/misery_332/index.html,https://books.toscrape.com/media/cache/cc/fb/ccfb8bb0f63377a67fb0a39d513f6cab.jpg,81d4191030b9704b,Horror
It,Â£25.01,In stock (4 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/it_330/index.html,https://books.toscrape.com/media/cache/f9/40/f9409b5717cc44f29aa444d85ad26bdc.jpg,670a2773607d785d,Horror
