title,price,availability,rating,product_url,image_url,upc,category
Rip it Up and Start Again,Â£35.02,In stock (19 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,a34ba96d4081e6a4,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,deda3e61b9514b83,Music
How Music Works,Â£37.32,In stock (19 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/how-music-works_979/index.html,https://books.toscrape.com/media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg,327f68a59745c102,Music
Love Is a Mix Tape (Music #1),Â£18.03,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html,https://books.toscrape.com/media/cache/b2/43/b2430e3958014d962042a14a912151ac.jpg,adb5f51c2e2ab13f,Music
Please Kill Me: The Uncensored Oral History of Punk,Â£31.19,In stock (8 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/please-kill-me-the-uncensored-oral-history-of-punk_537/index.html,https://books.toscrape.com/media/cache/8e/bb/8ebbba84c204b011527a8f4bd082b03f.jpg,4a823d80aa30dbb0,Music
Kill 'Em and Leave: Searching for James Brown and the American Soul,Â£45.05,In stock (8 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/kill-em-and-leave-searching-for-james-brown-and-the-american-soul_528/index.html,https://books.toscrape.com/media/cache/d4/8e/d48ee3fe30d6d9b9cc550b76dae5984a.jpg,39eefec3a8498dde,Music
"Chronicles, Vol. 1",Â£52.60,In stock (7 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/chronicles-vol-1_462/index.html,https://books.toscrape.com/media/cache/df/bd/dfbd53a5c4bcb1bf676bf2a86335adbb.jpg,4781b6bfd6f7a2c5,Music
This Is Your Brain on Music: The Science of a Human Obsession,Â£38.40,In stock (5 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/this-is-your-brain-on-music-the-science-of-a-human-obsession_414/index.html,https://books.toscrape.com/media/cache/d8/d3/d8d3a16113069ccde25da34483a583fb.jpg,bc209a900101f28d,Music
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Â£12.36,In stock (4 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/orchestra-of-exiles-the-story-of-bronislaw-huberman-the-israel-philharmonic-and-the-one-thousand-jews-he-saved-from-nazi-horrors_337/index.html,https://books.toscrape.com/media/cache/b5/94/b59425287ce6b186715fa7b01054c2bf.jpg,2ba5ccc84d35006c,Music
No One Here Gets Out Alive,Â£20.02,In stock (4 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/no-one-here-gets-out-alive_336/index.html,https://books.toscrape.com/media/cache/8e/9b/8e9be254974e64a8a3d365a1571e3ec2.jpg,3a95f5a2df4ff921,Music
