title,price,availability,rating,product_url,image_url,upc,category
Chase Me (Paris Nights #2),Â£25.27,In stock (19 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,https://books.toscrape.com/media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,c2e46a2ee3b4a322,Romance
Black Dust,Â£34.53,In stock (19 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/black-dust_976/index.html,https://books.toscrape.com/media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,00bfed9e18bb36f3,Romance
Her Backup Boyfriend (The Sorensen Family #1),Â£33.97,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,https://books.toscrape.com/media/cache/41/ee/41ee38c1d15f0139a3fb17b730dc4347.jpg,2a97cffe61c3c4c7,Romance
First and First (Five Boroughs #3),Â£15.97,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,https://books.toscrape.com/media/cache/01/a5/01a5285b17e7ec0e7e56294a8f8af28d.jpg,9e28048cea8d41f7,Romance
Fifty Shades Darker (Fifty Shades #2),Â£21.96,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,https://books.toscrape.com/media/cache/51/86/51862681bebec59be61f36f937c71fce.jpg,7add3f8e49ec0826,Romance
The Wedding Dress,Â£24.12,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,https://books.toscrape.com/media/cache/29/3b/293bd9cd6fe1f8c82d1688aefe6cc5f7.jpg,623e1a180426039b,Romance
Suddenly in Love (Lake Haven #1),Â£55.99,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html,https://books.toscrape.com/media/cache/58/bb/58bb81b052b6ad90adcd57e95da99a50.jpg,203b7f94b7d6115f,Romance
Something More Than This,Â£16.24,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html,https://books.toscrape.com/media/cache/b8/f9/b8f9e0169c3811f9ed145c3824208de6.jpg,ca71e72655bece85,Romance
Doing It Over (Most Likely To #1),Â£35.61,In stock (15 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html,https://books.toscrape.com/media/cache/4b/91/4b91460323973e9e140626d00474d74c.jpg,3a11bb962ff45b78,Romance
The Wedding Pact (The O'Malleys #2),Â£32.61,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html,https://books.toscrape.com/media/cache/21/53/21539e305aa09ec40b36daa43db3f2fe.jpg,c5cb9f885d8b3621,Romance
Hold Your Breath (Search and Rescue #1),Â£28.82,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html,https://books.toscrape.com/media/cache/3d/4d/3d4d8e92429144f6c807adc4b15b7f80.jpg,0b165bd4b9f42fd5,Romance
