title,price,availability,rating,product_url,image_url,upc,category
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,In stock (19 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,https://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,e30f54cea9b38190,Science Fiction
Join,Â£35.67,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/join_902/index.html,https://books.toscrape.com/media/cache/df/64/df642e483f7ae23de6888c73f05e2014.jpg,18ad3ed896c7ce05,Science Fiction
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Â£43.30,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,https://books.toscrape.com/media/cache/02/7a/027a1f131d94c38f9e785f5d85a109c7.jpg,9270575728a13a61,Science Fiction
The Project,Â£10.65,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-project_856/index.html,https://books.toscrape.com/media/cache/4c/57/4c57c192057269132623f9c6b3f69559.jpg,790ef197c8f236f5,Science Fiction
Soft Apocalypse,Â£26.12,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,https://books.toscrape.com/media/cache/61/ca/61ca5ab6bc514b9527af9f805fa03c31.jpg,2a70769cdc6eb8b8,Science Fiction
Sleeping Giants (Themis Files #1),Â£48.74,In stock (11 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/sleeping-giants-themis-files-1_604/index.html,https://books.toscrape.com/media/cache/ac/a5/aca5de2e61ca2754de496a75dea25f91.jpg,f435aa99d864077d,Science Fiction
Arena,Â£21.36,In stock (11 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/arena_587/index.html,https://books.toscrape.com/media/cache/01/c5/01c50c5f341b8f1d030e9dffba5e5498.jpg,2c34f9432069b52b,Science Fiction
Foundation (Foundation (Publication Order) #1),Â£32.42,In stock (5 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/foundation-foundation-publication-order-1_375/index.html,https://books.toscrape.com/media/cache/da/a0/daa08c54a927c27494ea5bb90af79c60.jpg,3fc124f59f3068e4,Science Fiction
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Â£10.92,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html,https://books.toscrape.com/media/cache/aa/8f/aa8fc991d84aca12ed94a0a2fa1099e5.jpg,0e92ccf1bd39e68f,Science Fiction
Ready Player One,Â£19.07,In stock (3 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/ready-player-one_209/index.html,https://books.toscrape.com/media/cache/b9/af/b9afd75c09ff7bf82c9a158a34cb993d.jpg,2ef5dc7e278e562a,Science Fiction
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Â£33.26,In stock (3 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html,https://books.toscrape.com/media/cache/54/ca/54cac05a3026d35e713133a1fe49f6c8.jpg,4b3f4f151c99f472,Science Fiction
Dune (Dune #1),Â£54.86,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/dune-dune-1_151/index.html,https://books.toscrape.com/media/cache/63/a9/63a9a4e0c8e3c6ee2075a766b873cd31.jpg,36d5884d44484277,Science Fiction
Do Androids Dream of Electric Sheep? (Blade Runner #1),Â£51.48,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html,https://books.toscrape.com/media/cache/c7/a3/c7a3d04df9cbc857b149cd76d32e3030.jpg,98330e431e56a9ea,Science Fiction
Three Wishes (River of Time: California #1),Â£44.18,In stock (1 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/three-wishes-river-of-time-california-1_89/index.html,https://books.toscrape.com/media/cache/48/e6/48e697e9c8bba8ca04a3064551cda630.jpg,460f97a346b44bac,Science Fiction
