title,price,availability,rating,product_url,image_url,upc,category
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,https://books.toscrape.com/media/cache/a3/9e/a39e7c5c9fc61c2ae0f81116aa8cbb0e.jpg,aadee1c326d286e3,Science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Â£57.36,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,https://books.toscrape.com/media/cache/e1/1e/e11e7e9514a123aee2415a1def85e638.jpg,e4f74c16de34d440,Science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Â£44.74,In stock (14 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,https://books.toscrape.com/media/cache/5d/a5/5da545b9d44464af8b3d0a9511a050ca.jpg,3edcccc4f341fb1a,Science
Tipping Point for Planet Earth: How Close Are We to the Edge?,Â£37.55,In stock (12 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html,https://books.toscrape.com/media/cache/8e/cb/8ecbec21e76445ee83229a439e22aeaa.jpg,148715df5a02ea5e,Science
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Â£55.91,In stock (9 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html,https://books.toscrape.com/media/cache/b2/5a/b25a722c3bab8b311454bc251a75334a.jpg,ca74f2e3c35a3e77,Science
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Â£28.41,In stock (8 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html,https://books.toscrape.com/media/cache/29/5c/295ca7f5981786e8b2c6616d10158808.jpg,0c11e2d068768dbb,Science
The Origin of Species,Â£10.01,In stock (7 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html,https://books.toscrape.com/media/cache/d5/45/d54527d34174d5dd7eaeaaffdfcb3c5c.jpg,0345872b14f9e774,Science
The Grand Design,Â£13.76,In stock (5 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-grand-design_405/index.html,https://books.toscrape.com/media/cache/9b/69/9b696c2064d6ee387774b6121bb4be91.jpg,3213b1f13f5f0f7c,Science
Peak: Secrets from the New Science of Expertise,Â£16.28,In stock (5 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html,https://books.toscrape.com/media/cache/7c/04/7c04c7a92b5ba83361eba81fa364a2ca.jpg,6036239d2ab349b7,Science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Â£13.03,In stock (3 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html,https://books.toscrape.com/media/cache/5e/db/5edba3f8d50df6306bc5aa3f2516bd0c.jpg,c6bf14cb901c63ac,Science
