title,price,availability,rating,product_url,image_url,upc,category
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock (19 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,3b1c02bac2a429e6,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,https://books.toscrape.com/media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg,09555be379ad9253,Sequential Art
This One Summer,Â£19.49,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,https://books.toscrape.com/media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg,51653ef291ab7ddc,Sequential Art
The Nameless City (The Nameless City #1),Â£38.16,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,https://books.toscrape.com/media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg,7d385d34d12e60ff,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,https://books.toscrape.com/media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg,53a3d11bb568cc8b,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,https://books.toscrape.com/media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg,c82a3e358c773c73,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,https://books.toscrape.com/media/cache/6c/8f/6c8ffe949fb650ba60eff25be1692881.jpg,0fa6dceead7ce47a,Sequential Art
"Pop Gun War, Volume 1: Gift",Â£18.97,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,https://books.toscrape.com/media/cache/6f/7b/6f7b3b8445b943f4ff7426360daefb88.jpg,e80f8e518b300dfe,Sequential Art
Patience,Â£10.16,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/patience_916/index.html,https://books.toscrape.com/media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg,9429b4d59c537af5,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,https://books.toscrape.com/media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg,889139b8e9c4cb36,Sequential Art
