title,price,availability,rating,product_url,image_url,upc,category
The Book of Basketball: The NBA According to The Sports Guy,Â£44.84,In stock (3 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-book-of-basketball-the-nba-according-to-the-sports-guy_232/index.html,https://books.toscrape.com/media/cache/73/bb/73bbe0a70806f8a732b9a7a7a343c5ec.jpg,08decd9664e5d56e,Sports and Games
"Friday Night Lights: A Town, a Team, and a Dream",Â£51.22,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/friday-night-lights-a-town-a-team-and-a-dream_158/index.html,https://books.toscrape.com/media/cache/89/e8/89e87f1e98993377949855563aa1f982.jpg,a9aa3ed5b316470b,Sports and Games
Sugar Rush (Offensive Line #2),Â£24.42,In stock (2 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/sugar-rush-offensive-line-2_108/index.html,https://books.toscrape.com/media/cache/10/65/106598cd8f3437c26a92cbda0a5a08bb.jpg,ce42e3de94226b2b,Sports and Games
Settling the Score (The Summer Games #1),Â£44.91,In stock (1 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/settling-the-score-the-summer-games-1_50/index.html,https://books.toscrape.com/media/cache/95/c4/95c41c1765b517d6240bd674a02676b1.jpg,132adf7335bb384a,Sports and Games
Icing (Aces Hockey #2),Â£40.44,In stock (1 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/icing-aces-hockey-2_25/index.html,https://books.toscrape.com/media/cache/bf/31/bf31c4b40f6b2622330155fb9113a3bb.jpg,3455b45888fb5053,Sports and Games
The Book of Basketball: The NBA According to The Sports Guy,Â£44.84,In stock (3 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-book-of-basketball-the-nba-according-to-the-sports-guy_232/index.html,https://books.toscrape.com/media/cache/73/bb/73bbe0a70806f8a732b9a7a7a343c5ec.jpg,08decd9664e5d56e,Sports and Games
"Friday Night Lights: A Town, a Team, and a Dream",Â£51.22,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/friday-night-lights-a-town-a-team-and-a-dream_158/index.html,https://books.toscrape.com/media/cache/89/e8/89e87f1e98993377949855563aa1f982.jpg,a9aa3ed5b316470b,Sports and Games
Sugar Rush (Offensive Line #2),Â£24.42,In stock (2 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/sugar-rush-offensive-line-2_108/index.html,https://books.toscrape.com/media/cache/10/65/106598cd8f3437c26a92cbda0a5a08bb.jpg,ce42e3de94226b2b,Sports and Games
Settling the Score (The Summer Games #1),Â£44.91,In stock (1 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/settling-the-score-the-summer-games-1_50/index.html,https://books.toscrape.com/media/cache/95/c4/95c41c1765b517d6240bd674a02676b1.jpg,132adf7335bb384a,Sports and Games
Icing (Aces Hockey #2),Â£40.44,In stock (1 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/icing-aces-hockey-2_25/index.html,https://books.toscrape.com/media/cache/bf/31/bf31c4b40f6b2622330155fb9113a3bb.jpg,3455b45888fb5053,Sports and Games
