title,price,availability,rating,product_url,image_url,upc,category
In Her Wake,Â£12.84,In stock (19 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,https://books.toscrape.com/media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg,23356462d1320d61,Thriller
The Elephant Tree,Â£23.82,In stock (18 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,https://books.toscrape.com/media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg,5dada2b7be26bd03,Thriller
Behind Closed Doors,Â£52.22,In stock (18 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,https://books.toscrape.com/media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg,be5cc846f45496fb,Thriller
You (You #1),Â£43.61,In stock (14 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/you-you-1_784/index.html,https://books.toscrape.com/media/cache/f2/f1/f2f19169771a8a8e1a4b72f22e799de8.jpg,024387ca4cafd5cc,Thriller
The Guilty (Will Robie #4),Â£13.82,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html,https://books.toscrape.com/media/cache/7f/fd/7ffdc9c4b7bf965990c59460da9b66b7.jpg,847935fc68707426,Thriller
The 14th Colony (Cotton Malone #11),Â£39.24,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html,https://books.toscrape.com/media/cache/5b/3e/5b3e36ce7c82e9dd8b416a23531c0121.jpg,1b8187fa4bf6ab05,Thriller
Give It Back,Â£18.32,In stock (6 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/give-it-back_430/index.html,https://books.toscrape.com/media/cache/15/d4/15d444bf7fc91c7ced84e73ec99d711d.jpg,012170e4fc87ace0,Thriller
Killing Floor (Jack Reacher #1),Â£31.49,In stock (5 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/killing-floor-jack-reacher-1_382/index.html,https://books.toscrape.com/media/cache/b1/5b/b15b4c864b762133cdaf69b58ba55d76.jpg,8dde2ff3f6fcc0a3,Thriller
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Â£59.71,In stock (4 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html,https://books.toscrape.com/media/cache/8d/1f/8d1f11673fbe46f47f27b9a4c8efbf8a.jpg,9c4d061c1e2fe6bf,Thriller
Far From True (Promise Falls Trilogy #2),Â£34.93,In stock (4 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/far-from-true-promise-falls-trilogy-2_320/index.html,https://books.toscrape.com/media/cache/9c/aa/9caacda3ff43984447ee22712e7e9ca9.jpg,ad15a9a139919918,Thriller
The Travelers,Â£15.77,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-travelers_285/index.html,https://books.toscrape.com/media/cache/42/a3/42a345bdcb3e13d5922ff79cd1c07d0e.jpg,2b685187f55c5d31,Thriller
In Her Wake,Â£12.84,In stock (19 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,https://books.toscrape.com/media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg,23356462d1320d61,Thriller
The Elephant Tree,Â£23.82,In stock (18 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,https://books.toscrape.com/media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg,5dada2b7be26bd03,Thriller
Behind Closed Doors,Â£52.22,In stock (18 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,https://books.toscrape.com/media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg,be5cc846f45496fb,Thriller
You (You #1),Â£43.61,In stock (14 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/you-you-1_784/index.html,https://books.toscrape.com/media/cache/f2/f1/f2f19169771a8a8e1a4b72f22e799de8.jpg,024387ca4cafd5cc,Thriller
The Guilty (Will Robie #4),Â£13.82,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html,https://books.toscrape.com/media/cache/7f/fd/7ffdc9c4b7bf965990c59460da9b66b7.jpg,847935fc68707426,Thriller
The 14th Colony (Cotton Malone #11),Â£39.24,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html,https://books.toscrape.com/media/cache/5b/3e/5b3e36ce7c82e9dd8b416a23531c0121.jpg,1b8187fa4bf6ab05,Thriller
Give It Back,Â£18.32,In stock (6 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/give-it-back_430/index.html,https://books.toscrape.com/media/cache/15/d4/15d444bf7fc91c7ced84e73ec99d711d.jpg,012170e4fc87ace0,Thriller
