title,price,availability,rating,product_url,image_url,upc,category
It's Only the Himalayas,Â£45.17,In stock (19 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,a22124811bfa8350,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,https://books.toscrape.com/media/cache/fe/8a/fe8af6ceec7718986380c0fde9b3b34f.jpg,ce60436f52c5ee68,Travel
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,https://books.toscrape.com/media/cache/c7/1a/c71a85dbf8c2dbc75cb271026618477c.jpg,f9705c362f070608,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â£36.94,In stock (8 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,https://books.toscrape.com/media/cache/ca/30/ca30b1afe1e76ce7ba1db8176d398e53.jpg,1809259a5a5f1d8d,Travel
Under the Tuscan Sun,Â£37.33,In stock (7 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,https://books.toscrape.com/media/cache/45/21/4521c581ba727f5c835e34860cbf53e5.jpg,a94350ee74deaa07,Travel
A Summer In Europe,Â£44.34,In stock (7 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,https://books.toscrape.com/media/cache/6c/e3/6ce3003931701c7a3fd5354917538ea9.jpg,cc1936a9f4e93477,Travel
The Great Railway Bazaar,Â£30.54,In stock (6 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,https://books.toscrape.com/media/cache/d5/82/d582f6b0261c2842330e893962276295.jpg,48736df57e7bec9f,Travel
A Year in Provence (Provence #1),Â£56.88,In stock (6 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,https://books.toscrape.com/media/cache/8b/81/8b81cd9b2c8f89a12099a80bed1c4911.jpg,9e60929f521fa280,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â£23.21,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,https://books.toscrape.com/media/cache/26/f5/26f5d20239a45046e756c6d09611b3ea.jpg,366a236aa1ea6f07,Travel
Neither Here nor There: Travels in Europe,Â£38.95,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,https://books.toscrape.com/media/cache/c9/9a/c99a7a05537cd842eb4db83d537e3a4d.jpg,747cf7fca2ccdbd4,Travel
"1,000 Places to See Before You Die",Â£26.08,In stock (1 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,https://books.toscrape.com/media/cache/9e/10/9e106f81f65b293e488718a4f54a6a3f.jpg,228ba5e7577e1d49,Travel
It's Only the Himalayas,Â£45.17,In stock (19 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,a22124811bfa8350,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,https://books.toscrape.com/media/cache/fe/8a/fe8af6ceec7718986380c0fde9b3b34f.jpg,ce60436f52c5ee68,Travel
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,https://books.toscrape.com/media/cache/c7/1a/c71a85dbf8c2dbc75cb271026618477c.jpg,f9705c362f070608,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â£36.94,In stock (8 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,https://books.toscrape.com/media/cache/ca/30/ca30b1afe1e76ce7ba1db8176d398e53.jpg,1809259a5a5f1d8d,Travel
Under the Tuscan Sun,Â£37.33,In stock (7 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,https://books.toscrape.com/media/cache/45/21/4521c581ba727f5c835e34860cbf53e5.jpg,a94350ee74deaa07,Travel
A Summer In Europe,Â£44.34,In stock (7 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,https://books.toscrape.com/media/cache/6c/e3/6ce3003931701c7a3fd5354917538ea9.jpg,cc1936a9f4e93477,Travel
The Great Railway Bazaar,Â£30.54,In stock (6 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,https://books.toscrape.com/media/cache/d5/82/d582f6b0261c2842330e893962276295.jpg,48736df57e7bec9f,Travel
A Year in Provence (Provence #1),Â£56.88,In stock (6 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,https://books.toscrape.com/media/cache/8b/81/8b81cd9b2c8f89a12099a80bed1c4911.jpg,9e60929f521fa280,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â£23.21,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,https://books.toscrape.com/media/cache/26/f5/26f5d20239a45046e756c6d09611b3ea.jpg,366a236aa1ea6f07,Travel
Neither Here nor There: Travels in Europe,Â£38.95,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,https://books.toscrape.com/media/cache/c9/9a/c99a7a05537cd842eb4db83d537e3a4d.jpg,747cf7fca2ccdbd4,Travel
"1,000 Places to See Before You Die",Â£26.08,In stock (1 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,https://books.toscrape.com/media/cache/9e/10/9e106f81f65b293e488718a4f54a6a3f.jpg,228ba5e7577e1d49,Travel
It's Only the Himalayas,Â£45.17,In stock (19 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,a22124811bfa8350,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,https://books.toscrape.com/media/cache/fe/8a/fe8af6ceec7718986380c0fde9b3b34f.jpg,ce60436f52c5ee68,Travel
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,https://books.toscrape.com/media/cache/c7/1a/c71a85dbf8c2dbc75cb271026618477c.jpg,f9705c362f070608,Travel
